id,gid,kecamatan,kelurahan,geom,nama,id_tps,alamat,thn_bangun,klasifikasi_struktur,klasifikasi_pengangkutan,tahun,status,kel_dilayani,kapasitas,vol_masuk,vol_dikelola,vol_diangkut,waktu_angkut,id_delivery,data_tahun,koordinat,lat,lon,utilisasi
58.0,53.0,Mojo,Mojo,0101000020ED7F0000993BB172063D2541B87E7529918A6141,TPS Mojoarum,106,Jl. Mojoarum,,TPS,compactor,,aktif,"Kel. Mojo, Kel. Pacar Kembang",23.1,23.1,23.1,23.1,<1 hari,,2021,"-7.26401444190388,112.774731597932",-7.26401444190388,112.774731597932,100.0
,,Mojo,Mojo,0101000020ED7F000044999E2769382541BD014649998A6141,TPS Kaliwaron,105,Jl.Kaliwaron,,TPS,compactor,,aktif,"Kel.Mojo,Kel.Pacar Kembang",29.7,29.7,29.7,29.7,<1 hari,,2021," -7.26344768632922, 112.769381222715",-7.26344768632922,112.769381222715,100.0
60.0,55.0,Kalijudan,Kalijudan,0101000020ED7F00000FF04167C0432541AAE6C537E98A6141,TPS Kalijudan,145,Jl. Kalijudan,,TPS,compactor,,aktif,Kel. Kalijudan,28.0,28.0,28.0,28.0,<1 hari,,2021,"-7.25761464694079,112.782502301248",-7.25761464694079,112.782502301248,100.0
,,Dukuh Sutorejo,Dukuh Sutorejo,0101000020ED7F0000BA861418574E2541E6E93C20E08A6141,TPS Sutorejo,144,Jl.Sutorejo,,TPS,compactor,,aktif,"Kel.Dukuh Sutorejo,Kel.Kalisari,Kel.Mulyorejo",33.0,33.0,33.0,33.0,<1 hari,,2021," -7.25822393366832, 112.794776750552",-7.25822393366832,112.794776750552,100.0
62.0,57.0,Airlangga,Airlangga,0101000020ED7F00002815643EA02E254122E7B698078A6141,TPS Srikana,107,Jl. Srikana,,TPS,compactor,,aktif,"Kel. Airlangga, Kel. Gubeng",26.4,26.4,26.4,26.4,<1 hari,,2021,"-7.2740298849592,112.758081669645",-7.2740298849592,112.758081669645,100.0
,,Kenjeran,Kenjeran,0101000020ED7F0000059885B4E14E254193762152F48B6141,TPS THP Kenjeran,82,Jl.Kenjeran,,TPS,armroll,,aktif,"Kel.Krembangan Utara,Kel.Nyamplungan,Kel.Ampel",14.0,14.0,14.0,14.0,<1 hari,,2021," -7.23824394896929, 112.795325150616",-7.23824394896929,112.795325150616,100.0
64.0,59.0,Wonokromo,Ngagel Rejo,0101000020ED7F0000629A269EFF25254160BCF22B87886141,Bratang Lapangan,113,Jl. Bratang Lapangan,,,armroll,,aktif,"Kel. Barata Jaya, Kel. Ngagel Rejo",14.0,14.0,12.0,14.0,<1 hari,,2021,"-7.30187514947568,112.748190039549",-7.30187514947568,112.748190039549,100.0
,,Sukolilo,Gebang Putih,0101000020ED7F00009406DA9126462541F0108E4977896141,Gebang Putih,118,Jl.Gebang Putih,,,armroll,,aktif,"Kel.Gebang Putih,Kel.Keputih",14.0,14.0,14.0,14.0,<1 hari,,2021," -7.28436135701527, 112.785388476362",-7.28436135701527,112.785388476362,100.0
66.0,62.0,Rungkut,Rungkut Kidul,0101000020ED7F0000C22DC904DC3925415B67944AF3866141,Rungkut Kidul (Pasar Pahing),126,Jl. Pasar Rungkut Kidul Pasar Pahing,,,armroll,,aktif,Kel. Rungkut Kidul,28.0,28.0,28.0,28.0,<1 hari,,2021,"-7.33099883879681,112.771325991674",-7.33099883879681,112.771325991674,100.0
,,Rungkut,Penjaringan Sari,0101000020ED7F00004338B2CE1A4525417D91D275EB876141,Kendal Sari Wonorejo,127,Jl.Kendalsari(Barat Kebun Bibit),,,armroll,,aktif,Kel.Penjaringan,16.5,16.5,16.5,16.5,<1 hari,,2021," -7.31299689211114, 112.784289666829",-7.31299689211114,112.784289666829,100.0
